title,price,cat_1,cat_2,cat_3,caracteristics,img_ref,target,dealer
Эллиптический тренажер Matrix A5X (A5X13/ A5X-06),768890,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,Matrix,"Система нагружения:электромагнитная (бесконтактный JIDTM генератор)Кол-во уровней нагрузки:25 (минимум от сети/без сети : 24 Ватта/24 Ватта)Маховик:генераторный бесшумный QuietGlideTMДлина шага:510 - 610 мм.Наклон:электрический (24-54%)Педали:антискользящие Расстояние между педалями:64 мм. (супермалый Q-Фактор E.S.Q.F.TM)Измерение пульса:сенсорные датчики, Polar приемник Консоль:буквенно-цифровой LED дисплей Показания консоли:профиль, наклон, время, дистанция, скорость, обороты в мин., уровни, калории, пульс, метаболические ед-цы, Ватты Кол-во программ:8 (в т.ч. пульсозависимая)Спецификации программ:ручной режим, интервалы, ""качели"", сжигание жира, сжигание жира в ягодицах, фит-тест Института Купера, 1 Ватт-фиксированная, 1 пульсозависимая Специальные программные возможности:сбор данных состояния тренажера (WI-FI->роутер Asset ManagementTM->Johnson WEB online)Многоязычный интерфейс:нет Интеграция и Мультимедиа:USB (обновление П О), iPod/iPhone (только зарядка), Ethernet RJ45, WI-FI (протокол BodyLAN), FitConnectionTM Ready, CSAFE-FitLinxxTM Ready Питание:автономно от сети/сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):178х74х174 см Вес:201 кг Максимальный вес пользователя:182 кг Рама:высокопрочная износостойкая с двухслойной покраской и лакировкой Дополнительные характеристики:вентилятор - есть; транспортировочные ролики - есть Гарантия:5 лет Производитель:Johnson Health Tech, С Ш А Страна изготовления:Тайвань",images/ellipticheskie_trenazhery/138_sportdoma_13133.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер Horizon ANDES 3 NEW,114990,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,Horizon,"Тип эллиптического тренажера:складной переднеприводный эллиптический тренажер Система нагружения:электромагнитная Кол-во уровней нагрузки:16 Маховик:21 кг (инерционный вес)Длина шага:510 мм Наклон:нет Педали:антискользящие увеличенного размера Расстояние между педалями:56 мм. (супермалый Q-Фактор E.S.Q.F.TM)Педальный узел:изменяемые оси ErgoFlowTMИзмерение пульса:сенсорные датчики, Polar приемник Консоль:5,5 - ти дюймовый, многофункциональный, черно-белый LCD дисплей Показания консоли:профиль, время, дистанция, калории, скорость, уровень нагрузки, пульс, Ватты, график нагрузки Кол-во программ:10 (в т.ч. пульсозависимые)Спецификации программ:ручной режим, интервалы, ""игры"", снижение веса, ""качели"", произвольная, восстановительная, 1 Ватт-фиксированная, 1 пульсозависимая, 1 пользовательская Специальные программные возможности:нет Многоязычный интерфейс:нет Интеграция и Мультимедиа:Audio IN (mini-jack 3.5 mm)Питание:сеть 220 Вольт Энергосбережение:есть Складывание:Folding SixStar Front-driveTMГабариты (Дх Шх В):173х67х171 см.; в сложенном виде - 102х67х171 см Вес:77 кг Максимальный вес пользователя:136 кг Рама:усиленная Сочленения:подшипники Дополнительные характеристики:вентилятор - нет; транспортировочные ролики - есть; компенсаторы неровностей пола - есть Гарантия:3 года Производитель:Johnson Health Tech, С Ш А Страна изготовления:К Н Р",images/ellipticheskie_trenazhery/139_sportdoma_14981.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер PROXIMA GRAVITAS (FE758TGBQ),199990,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,PROXIMA,"Тип эллиптического тренажера:для коммерческого использования Система нагружения:электромагнитная (встроенный генератор)Кол-во уровней нагрузки:32 уровня, изменение с панели компьютера Маховик:24 кг.Длина шага:58 см (23""), система равномерного плавного хода и бесшумного скольжения «FLOW STEP»TMВысота шага:18 см.Расстояние между педалями:5 см. (Q-фактор)Измерение пульса:датчики на активных и пассивных рукоятках, встроенный кардиоприемник в консоль; доп.беспроводной нагрудный датчик (опционально)Консоль:LED 18см (7"")Показания консоли:калории, дистанция, скорость, пульс (Ч С С), сопротивление, продолжительность Кол-во программ:26 Спецификации программ:режимы - пользовательский, пульсозависимый, тренер, интервальный, жиросжигающий, постоянной нагрузки, регулируемой нагрузки в Вт Питание:встроенный генератор Габариты (Дх Шх В):203х79х173см; с вылетом педалей 208х79х173см.; упаковка из 2 коробок 1) 116x64x67 см. 2) 126x41x26 см.Вес:105 кг.; в упаковке 125 кг.Максимальный вес пользователя:180 кг.Рама:усиленная Сочленения:подшипники во всех сочленениях Дополнительные характеристики:транспортировочные ролики, компенсаторы неровности пола, держатель для бутылки с водой, клавиши регулировки на активных рукоятках Гарантия:2 года. Рама, маховик - 5 лет Производитель:Proxima Страна изготовления:Тайвань",images/ellipticheskie_trenazhery/140_sportdoma_16589.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер BRONZE GYM E1001 PRO,349990,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,BRONZE GYM,"Система нагружения:электромагнитная (генератор)Кол-во уровней нагрузки:20 (25-350 Ватт)Маховик:13.0 / 28.6 кг (собственный / инерционный вес)Длина шага:553 мм Наклон:нет Педали:ортопедические анстискользящие с гелиевой основой Расстояние между педалями:51 мм Измерение пульса:сенсорные датчики Консоль:точечный LED дисплей + 7-ми оконный буквенно-цифровой LED дисплей Показания консоли:профиль, скорость, время, дистанция, калории, пульс, обороты в мин., уровни, Ватты Кол-во программ:11 (в т.ч. пульсозависимые)Спецификации программ:ручной режим, кардио, сжигание жира, случайная, 3 целевые, 3 пульсозависимые, 1 пользовательская Специальные программные возможности:нет Многоязычный интерфейс:английский Интеграция и Мультимедиа:нет Питание:автономно от сети Складывание:нет Габариты (Дх Шх В):214х75х163 см Вес:134 кг Максимальный вес пользователя:180 кг Рама:особопрочная с двухслойной покраской ""металлик""Дополнительные характеристики:вентилятор - нет; транспортировочные ролики - есть Гарантия:3 года Производитель:Neotren GmbH, Германия Страна изготовления:К Н Р",images/ellipticheskie_trenazhery/141_sportdoma_13382.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер PROXIMA SENATOR iPRO,169990,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,PROXIMA,"Тип эллиптического тренажера:переднеприводной эллиптический тренажер с генератором Система нагружения:генератор с электромагнитной с автоматизированной электронной системой переключения уровней сопротивления «AUTO TENSION» TMКол-во уровней нагрузки:16 Маховик:24 кг Длина шага:580 мм Высота шага:23 см Наклон:нет Педали:регулируемые - 3 положения: 00,50,100 Расстояние между педалями:8 см Рукоятки:с датчиками пульса и кнопками для изменения нагрузки и старт-стоп программы Измерение пульса:сенсорные датчики, Polar приемник (нагрудный кардиодатчик приобретается отдельно)Консоль:LCD 12см (5"")Показания консоли:профиль программы, расход калорий, пульс, пройденное расстояние, уровень сопротивления, скорость, обороты в минуту, время тренировок, пол, возраст, вес Кол-во программ:19 (в т.ч. пульсозависимая)Спецификации программ:12 встроенных программ, 3 программы на сжигание жира, 1 Ватт-фиксированная, 1 пульсозависимая, функция анализа восстановления сердечного ритма Recovery-тест Специальные программные возможности:программа учета эквивалента метаболической активности Многоязычный интерфейс:английский Питание:встроенный генератор Складывание:нет Габариты (Дх Шх В):196х73х178 см Вес:101.5 кг Максимальный вес пользователя:150 кг Рама:высокопрочная Сочленения:подшипники во всех сочленениях Дополнительные характеристики:USB-разъем; держатель для бутылки с водой; алюминиевый контейнер для воды; клавиши регулировки на активных рукоятках, сдвоенные колеса на металлических направляющих и фронтальными стабилизаторами, транспортировочные ролики, компенсаторы неровности пола Гарантия:2 года. Рама, маховик - 5 лет Производитель:PROXIMA Страна изготовления:Тайвань",images/ellipticheskie_trenazhery/142_sportdoma_14977.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер OXYGEN SATORI EL HRC EXT,59990,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,OXYGEN,"Тип эллиптического тренажера:домашний Система нагружения:электромагнитная magicFLOWTM PLUS Кол-во уровней нагрузки:16 (30-350 Ватт)Маховик:инерционный вес 22.0 кг (собственный вес 10.0 кг)Длина шага:505 мм Наклон:нет Педали:настраиваемые двухпозиционные Педальный узел:трехкомпонентный дисковый с реверсивным ходом Измерение пульса:сенсорные датчики, PolarTM / OxygenTM совместимый приемник Консоль:цветной сенсорный (Touch Screen) многофункциональный LCD дисплей Показания консоли:профиль, время, дистанция, скорость, калории, обороты в мин., пульс, Ватты, фитнес-тест (Recovery), фитнес-оценка, жироанализатор (Body Fat), индекс массы тела (BMI)Кол-во программ:21 (в т.ч. пульсозависимые)Спецификации программ:ручной режим, интервалы, ""качели"", долина, склон, спуск, гора, ралли, выносливость, сжигание жира, кардио, жироанализатор, 1 Ватт-фиксированная, 4 пульсозависимые, 4 пользовательские Специальные программные возможности:нет Многоязычный интерфейс:нет Интеграция и Мультимедиа:нет Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):145х58х172 см Вес:50 кг Максимальный вес пользователя:150 кг Рама:высокопрочная с двухслойной покраской ""металлик"" и лакировкой Дополнительные характеристики:вентилятор - нет; транспортировочные ролики - есть Гарантия:2 года Производитель:Neotren GmbH, Германия Страна изготовления:К Н Р",images/ellipticheskie_trenazhery/143_sportdoma_15742.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер CARBON E907,40990,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,CARBON,"Система нагружения:электромагнитная optiSTEPTMКол-во уровней нагрузки:24 (20-300 Ватт)Маховик:инерционный вес 26.0 кг (собственный вес 11.8 кг)Длина шага:480 мм Наклон:нет Педали:антискользящие, увеличенного размера Расстояние между педалями:19 см (малый Q-Фактор S.Q.F.TM)Педальный узел:трехкомпонентный дисковый Измерение пульса:сенсорные датчики Консоль:черно-белый LCD-дисплей диагональю 14.5 см. с профилем тренировки Показания консоли:профиль программ, время, дистанция (за тренировку/общая), скорость, калории, фитнес-тест (Recovery), жироанализатор (Body Fat(%)/Body Type/BMR/BMI)Кол-во программ:19 (в т.ч. пульсозависимые)Спецификации программ:ручной режим, пересеченная местность, долина, холм, гора, выносливость, снижение веса, интервалы, сжигание жира, Ватт-программа, Body Fat, 4 пульсозависимые, 4 пользовательские Специальные программные возможности:нет Многоязычный интерфейс:нет; английский Интеграция и Мультимедиа:нет Питание:сеть 220 Вольт Энергосбережение:есть Складывание:нет Габариты (Дх Шх В):147х62х160 см Вес:44 кг Максимальный вес пользователя:140 кг Рама:усиленная с однослойной покраской Дополнительные характеристики:вентилятор - нет; транспортировочные ролики - есть; компенсаторы неровностей пола - есть Гарантия:1 год Производитель:Neotren GmbH, Германия Страна изготовления:К Н Р",images/ellipticheskie_trenazhery/145_sportdoma_15971.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер Horizon ANDES 5 VIEWFIT,129990,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,Horizon,"Тип эллиптического тренажера:складной переднеприводный эллиптический тренажер Система нагружения:электромагнитная Кол-во уровней нагрузки:20 Маховик:24 кг (инерционный вес)Длина шага:510 мм Наклон:нет Педали:антискользящие увеличенного размера Расстояние между педалями:56 мм. (супермалый Q-Фактор E.S.Q.F.TM)Педальный узел:изменяемые оси ErgoFlowTMИзмерение пульса:сенсорные датчики, Polar приемник Консоль:5,5 - ти дюймовый, многофункциональный, черно-белый LCD дисплей Показания консоли:профиль, время, дистанция, калории, скорость, уровень нагрузки, пульс, Ватты, график нагрузки Кол-во программ:12 (в т.ч. пульсозависимые)Спецификации программ:ручной режим, интервалы, ""игры"", снижение веса, ""качели"", произвольная, восстановительная, 1 Ватт-фиксированная, 2 пульсозависимые, работа на силу, 1 пользовательская Специальные программные возможности:облачный сервис VIEWFIT Многоязычный интерфейс:нет Интеграция и Мультимедиа:Audio IN (mini-jack 3.5 mm), виртуальный ландшафт PassportTM Ready, WI-FI ; динамики объемного звучания Sonic Surround Питание:сеть 220 Вольт Энергосбережение:есть Складывание:Folding SixStar Front-driveTMГабариты (Дх Шх В):173х67х171 см.; в сложенном виде - 102х67х171 см Вес:79,5 кг Максимальный вес пользователя:136 кг Рама:усиленная Сочленения:подшипники Дополнительные характеристики:вентилятор - нет; транспортировочные ролики - есть; компенсаторы неровностей пола - есть Гарантия:3 года Производитель:Johnson Health Tech, С Ш А Страна изготовления:К Н Р",images/ellipticheskie_trenazhery/146_sportdoma_14980.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер OXYGEN COLUMBIA EXT,49990,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,OXYGEN,"Система нагружения:электромагнитная magicFLOWTM PLUS Кол-во уровней нагрузки:16 (30-350 Ватт)Маховик:инерционный вес 19.8 кг (собственный вес 9.0 кг)Длина шага:420 мм Наклон:нет Педали:антискользящие Педальный узел:трехкомпонентный дисковый с реверсивным ходом Измерение пульса:сенсорные датчики Консоль:цветной многофункциональный LCD дисплей Показания консоли:профиль, время, дистанция, скорость, калории, обороты в мин., пульс, Ватты, фитнес-тест (Recovery), фитнес-оценка, жироанализатор (Body Fat), индекс массы тела (BMI), индекс метаболизма (BMR)Кол-во программ:21 (в т.ч. пульсозависимые)Спецификации программ:ручной режим, интервалы, ""качели"", долина, склон, спуск, гора, ралли, выносливость, сжигание жира, кардио, жироанализатор, 1 Ватт-фиксированная, 4 пульсозависимые, 4 пользовательские Специальные программные возможности:нет Многоязычный интерфейс:нет Интеграция и Мультимедиа:нет Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):126х67х160 см Вес:45 кг Максимальный вес пользователя:150 кг Рама:высокопрочная с двухслойной покраской ""металлик"" и лакировкой Дополнительные характеристики:вентилятор - нет; транспортировочные ролики - есть Гарантия:2 года Производитель:Neotren GmbH, Германия Страна изготовления:К Н Р",images/ellipticheskie_trenazhery/147_sportdoma_15729.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер OXYGEN CARIBA III EL EXT,51990,Эллиптические тренажеры,Магнитные эллиптические тренажеры,OXYGEN,"Система нагружения:магнитная magicFLOWTMКол-во уровней нагрузки:8 Маховик:инерционный вес 22.0 кг (собственный вес 10.0 кг)Длина шага:505 мм Наклон:нет Педали:антискользящие двухпозиционные Педальный узел:трехкомпонентный дисковый с реверсивным ходом Измерение пульса:сенсорные датчики Консоль:5-ти дюймовый (12.7 см) черно-белый многофункциональный LCD дисплей с сенсорными клавишами Показания консоли:время, дистанция, скорость, калории, пульс, фитнес-тест (Recovery), жироанализатор (Body Fat), температура (C/F)Кол-во программ:программы отсутствуют Специальные программные возможности:нет Многоязычный интерфейс:английский Интеграция и Мультимедиа:нет Питание:не требует подключения к сети Энергосбережение:есть Складывание:нет Габариты (Дх Шх В):155х68х169 см Вес:55 кг Максимальный вес пользователя:150 кг Рама:высокопрочная с двухслойной покраской ""металлик"" и лакировкой Дополнительные характеристики:вентилятор - нет; транспортировочные ролики - есть; компенсаторы неровностей пола - есть Гарантия:2 года Производитель:Neotren GmbH, Германия Страна изготовления:К Н Р",images/ellipticheskie_trenazhery/148_sportdoma_15730.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер AMMITY Dream DE 50,155000,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,AMMITY,"Тип эллиптического тренажера:эллиптический эргометр Система нагружения:электромагнитная DMCTMКол-во уровней нагрузки:24 Маховик:11.7 кг Длина шага:584 мм Высота шага:112 мм Наклон:нет Педали:антискользящие Расстояние между педалями:8 см Педальный узел:AluPROTMРукоятки:эргономичные Измерение пульса:сенсорные датчики, Polar приемник Консоль:7"" LCD дисплей, синий/белый Показания консоли:время, скорость, обороты в минуту, дистанцию, расход калорий, пульс, профиль программы, Ватты, отображение воспроизведения мелодий Кол-во программ:76 (в т.ч. пульсозависимые)Спецификации программ:48 встроенных программ, 16 пользовательских, программа WattControl, 1 пульсозависимая, программа восстановления PulseRecovery, фитнесс-оценка BodyFat, индекс массы тела BMI, Оценка базального метаболизма BMR Многоязычный интерфейс:русский язык Интеграция и Мультимедиа:APP приложения iOS/ANDROID, USB MP3, Функция RemoteControl (Управление воспроизведением звукозаписи на консоли), Audio IN - музыкальное воспроизведение MP3/IPHONE/IPOD/ANDROID Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):177.5x66x177.5 см Вес:91.8 кг Максимальный вес пользователя:180 кг Рама:сверхпрочная цельная Сочленения:подшипники фирмы NSK (Сделано в Японии)Дополнительные характеристики:встроенный вентилятор,подключение MP3, сдвоенные ролики, компенсаторы неровности пола, транспортировочные ролики Гарантия:3 года Производитель:AMMITY, Тайвань Страна изготовления:Тайвань",images/ellipticheskie_trenazhery/149_sportdoma_14965.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер APPLEGATE E32 M,38990,Эллиптические тренажеры,Магнитные эллиптические тренажеры,APPLEGATE,"Тип эллиптического тренажера:домашний Система нагружения:магнитная bio-FlowTMКол-во уровней нагрузки:8 Маховик:24 кг (инерционный вес)Длина шага:460 мм Наклон:нет Педали:антискользящие, увеличенного размера Расстояние между педалями:18 см Педальный узел:трехкомпонентный Измерение пульса:датчики на рукоятках Консоль:черно-белый LCD-дисплей диагональю 14 см Показания консоли:время, дистанция (за тренировку/общая), скорость, калории и пульс Многоязычный интерфейс:английский Складывание:нет Габариты (Дх Шх В):151*69*158 см Вес:48 кг Максимальный вес пользователя:140 кг Рама:усиленная Сочленения:втулки и подшипники Дополнительные характеристики:компенсаторы неровности пола, транспортировочные ролики Гарантия:1 год Производитель:Jörgen Svensson, Швеция Страна изготовления:К Н Р",images/ellipticheskie_trenazhery/150_sportdoma_15839.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер AMMITY Ocean OE 40,150000,Эллиптические тренажеры,Эллиптические эргометры,AMMITY,"Тип эллиптического тренажера:домашняя эксплуатация Система нагружения:аэромагнитная AMCTMКол-во уровней нагрузки:24 Маховик:11.7 кг.Длина шага:51 см Высота шага:23 см Наклон:нет Педали:нескользящая поверхность педалей Расстояние между педалями:9 см Измерение пульса:на не подвижных поручнях + беспроводной кардиоприёмник(опция)Консоль:LCD дисплей(синий/белый)Показания консоли:скорость, дистанция, затраченные калории, пульс, текущий уровень нагрузки, затраченная энергия (Вт), количество шагов в мин.,диаграмма тренировки Кол-во программ:76 Спецификации программ:профиль, время, дистанция, скорость, калории, обороты в мин., пульс, Ватты, фитнес-тест (Recovery), жироанализатор (Body Fat)Многоязычный интерфейс:русский язык Интеграция и Мультимедиа:есть Питание:220 В Габариты (Дх Шх В):163х66х174 см.Вес:85 кг Максимальный вес пользователя:180 кг Рама:сверхпрочная рама, усиленная конструкция Сочленения:подшипниковые соединения поручней, включая шарнирные подшипники Fish EYE Гарантия:3 года Производитель:AMMITY Страна изготовления:Тайвань",images/ellipticheskie_trenazhery/151_sportdoma_15302.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер BRONZE GYM E901 PRO,182742,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,BRONZE GYM,"Тип эллиптического тренажера:профессиональный Система нагружения:электромагнитная (EMS генератор)Кол-во уровней нагрузки:16 (10-350 Ватт)Маховик:12 кг Длина шага:480 мм Наклон:нет Педали:прорезиненные антискользящие Измерение пульса:дублирующие сенсорные датчики Консоль:цветной многофункциональный LED дисплей с профилем тренировки и сенсорными клавишами Показания консоли:профиль, время, дистанция, скорость, калории, обороты в мин., пульс, Ватты, фитнес-тест (Recovery), жироанализатор (Body Fat)Кол-во программ:22 (в т.ч. пульсозависимые)Спецификации программ:12 тренировочных профилей, ручной режим, 1 Ватт-фиксированная, 4 пользовательские, 4 пульсозависимые Специальные программные возможности:нет Многоязычный интерфейс:нет Интеграция и Мультимедиа:нет Питание:автономно от сети/сеть 220 Вольт (опционально)Энергосбережение:есть Складывание:нет Габариты (Дх Шх В):219х69х188 см Вес:125 кг Максимальный вес пользователя:180 кг Рама:высокопрочная с двухслойной покраской ""металлик"" и лакировкой Сочленения:подшипники Дополнительные характеристики:вентилятор - нет Гарантия:3 года Производитель:Neotren GmbH, Германия Страна изготовления:Тайвань",images/ellipticheskie_trenazhery/152_sportdoma_15021.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер Body-Solid Endurance E5000,314990,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,BodySolid,"Тип эллиптического тренажера:профессиональный Система нагружения:электромагнитная Кол-во уровней нагрузки:20 Длина шага:53 см Измерение пульса:Контактные датчики на рукоятках, беспроводной нагрудный датчик Консоль:Монохромный Ж К-дисплей Показания консоли:Время, расстояние, скорость, шаги в минуту, калории, пульс, уровень нагрузки, калории в час Кол-во программ:14 Спецификации программ:Горы, холмы, случайная, интервальная скоростная тренировка, интервальная, интервальная горная, целевая (Ч С С), кардио (Ч С С), сжигание жира (Ч С С), холмы (Ч С С), интервальная (Ч С С), быстрый старт (без ввода параметров), пользовательская (2 профиля)Многоязычный интерфейс:английский Питание:генератор Складывание:нет Габариты (Дх Шх В):174х79х175 см Вес:121 кг Максимальный вес пользователя:147 кг Рама:сталь Гарантия:1 год Производитель:Body-Solid (С Ш А)Страна изготовления:Тайвань",images/ellipticheskie_trenazhery/153_sportdoma_14905.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер OXYGEN EX-45FD HRC+,73990,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,OXYGEN,"Система нагружения:электромагнитная magicFLOWTM FRONT PLUS Кол-во уровней нагрузки:32 (10-350 Ватт)Маховик:инерционный вес 24.2 кг (собственный вес 11.0 кг)Длина шага:452 мм Наклон:нет Педали:антискользящие Педальный узел:трехкомпонентный дисковый с реверсивным ходом Измерение пульса:сенсорные датчики, PolarTM / OxygenTM совместимый приемник , входит в комплект)Консоль:5.5 дюймовый (14 см) черно-голубой многофункциональный LCD дисплей Показания консоли:профиль, время, дистанция, скорость, калории, обороты в мин., пульс, Ватты, фитнес-тест (Recovery), жироанализатор (Body Fat)Кол-во программ:19 (в т.ч. пульсозависимые)Спецификации программ:ручной режим, холм, гора, пик, склон, ралли, кардио холмы, кардио подъем, кардио интервалы, ""качели"", сжигание жира, выносливость 1, выносливость 2, 1 Ватт-фиксированная, 1 пользовательская, 4 пульсозависимые Специальные программные возможности:нет Многоязычный интерфейс:английский Интеграция и Мультимедиа:нет Питание:сеть 220 Вольт Энергосбережение:есть Складывание:есть Габариты (Дх Шх В):203х71х176 см; в сложенном виде - 151х71х176 см Вес:56 кг Максимальный вес пользователя:150 кг Рама:высокопрочная с двухслойной покраской ""металлик"" и лакировкой Дополнительные характеристики:вентилятор - нет; транспортировочные ролики - есть; компенсаторы неровностей пола - есть Гарантия:2 года Производитель:Neotren GmbH, Германия Страна изготовления:К Н Р",images/ellipticheskie_trenazhery/154_sportdoma_15758.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер BRONZE GYM E801 LC,110492,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,BRONZE GYM,"Система нагружения:электромагн. бесконтактная EMS Кол-во уровней нагрузки:16 (10-680 Ватт)Маховик:инерционный вес 24.2 кг (собственный вес 11.0 кг)Длина шага:455-530 мм. (3 уровня)Наклон:механический (3 уровня)Педали:анстискользящие Измерение пульса:сенсорные датчики Консоль:5.5 дюймовый (14 см.) цветной многофункциональный LCD дисплей Показания консоли:профиль, время, дистанция, калории, обороты в мин., пульс, уровни, Ватты, фитнес-тест (Recovery), жироанализатор (Body Fat), индекс массы тела (BMI), индекс метаболизма (BMR)Кол-во программ:16 (в т.ч. пульсозависимые)Спецификации программ:ручной режим, долина, склон, сжигание жира, ""качели"", фитнес-тест, случайная, жироанализатор (Body Type, BMI, BMR), 4 пользовательские, 4 пульсозависимые Специальные программные возможности:нет Многоязычный интерфейс:английский Интеграция и Мультимедиа:нет; нет; нет Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):175х68х145 см Вес:61 кг Максимальный вес пользователя:160 кг Рама:усиленная с двухслойной покраской ""металлик"" и лакировкой Дополнительные характеристики:вентилятор - нет; транспортировочные ролики - есть Гарантия:1 год Производитель:Neotren GmbH, Германия Страна изготовления:Тайвань",images/ellipticheskie_trenazhery/155_sportdoma_13801.jpeg,ellipticheskie_trenazhery,sportdoma
Эллиптический тренажер NordicTrack C7.5,119990,Эллиптические тренажеры,Электромагнитные эллиптические тренажеры,NordicTrack,"Тип эллиптического тренажера:для домашнего использования Система нагружения:бесшумная электромагнитная система нагружения SMR SilentTMКол-во уровней нагрузки:22 Маховик:9 кг.Длина шага:46 - 51 см, автоматически изменяемый угол наклона рампы Наклон:0 - 20%. Управление с помощью OneTouchTMПедали:регулируемые, объемные, мягкие педали Измерение пульса:монитор сердечного ритма Dual-Grip EKGTM (датчики на поручнях), и нагрудный датчик Polar® по Bluetooth-каналу (опция)Консоль:7"" монохромный дисплей Кол-во программ:26 предустановленных программ и поддержка технологии iFit® Live Интеграция и Мультимедиа:аудиоразъём для iPod®Питание:сеть 220 Вольт Складывание:нет Габариты (Дх Шх В):в рабочем состоянии 180 х 65 х 179 cм.; в упаковке 168 х 46 х 79 см.Вес:96 кг.; в упаковке 103 кг.Максимальный вес пользователя:125 кг.Дополнительные характеристики:Транспортировочные ролики, компенсаторы неровности пола, держатель под планшет (планшет на фото в комплект не входит), вентилятор AutoBreezeTMГарантия:24 мес.Производитель:ICON Health&Fitness (С Ш А)Страна изготовления:Китай",images/ellipticheskie_trenazhery/156_sportdoma_15946.jpeg,ellipticheskie_trenazhery,sportdoma
